OrderID,OrderDate,ShipDate,CustomerID,ProductID,RegionID,Sales,Quantity,Discount,Profit,ProfitMargin
CA-2016-152156,2016-11-08,2016-11-11,CG-12520,FUR-BO-10001798,South,261.96,2,0.0,41.9136,0.16000000000000003
CA-2016-152156,2016-11-08,2016-11-11,CG-12520,FUR-CH-10000454,South,731.94,3,0.0,219.582,0.3
CA-2016-138688,2016-06-12,2016-06-16,DV-13045,OFF-LA-10000240,West,14.62,2,0.0,6.8714,0.47000000000000003
US-2015-108966,2015-10-11,2015-10-18,SO-20335,FUR-TA-10000577,South,957.5775,5,0.45,-383.031,-0.4
US-2015-108966,2015-10-11,2015-10-18,SO-20335,OFF-ST-10000760,South,22.368,2,0.2,2.5164,0.1125
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,FUR-FU-10001487,West,48.86,7,0.0,14.1694,0.29
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,OFF-AR-10002833,West,7.28,4,0.0,1.9656,0.27
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,TEC-PH-10002275,West,907.152,6,0.2,90.7152,0.09999999999999999
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,OFF-BI-10003910,West,18.504,3,0.2,5.7825,0.31249999999999994
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,OFF-AP-10002892,West,114.9,5,0.0,34.47,0.3
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,FUR-TA-10001539,West,1706.184,9,0.2,85.3092,0.05
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,TEC-PH-10002033,West,911.424,4,0.2,68.3568,0.07500000000000001
CA-2017-114412,2017-04-15,2017-04-20,AA-10480,OFF-PA-10002365,South,15.552,3,0.2,5.4432,0.35000000000000003
CA-2016-161389,2016-12-05,2016-12-10,IM-15070,OFF-BI-10003656,West,407.976,3,0.2,132.5922,0.32499999999999996
US-2015-118983,2015-11-22,2015-11-26,HP-14815,OFF-AP-10002311,Central,68.81,5,0.8,-123.858,-1.8
US-2015-118983,2015-11-22,2015-11-26,HP-14815,OFF-BI-10000756,Central,2.544,3,0.8,-3.816,-1.5
CA-2014-105893,2014-11-11,2014-11-18,PK-19075,OFF-ST-10004186,Central,665.88,6,0.0,13.3176,0.02
CA-2014-167164,2014-05-13,2014-05-15,AG-10270,OFF-ST-10000107,West,55.5,2,0.0,9.99,0.18
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,OFF-AR-10003056,West,8.56,2,0.0,2.4824,0.29
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,TEC-PH-10001949,West,213.48,3,0.2,16.011,0.075
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,OFF-BI-10002215,West,22.72,4,0.2,7.384,0.325
CA-2016-137330,2016-12-09,2016-12-13,KB-16585,OFF-AR-10000246,Central,19.46,7,0.0,5.0596,0.25999999999999995
CA-2016-137330,2016-12-09,2016-12-13,KB-16585,OFF-AP-10001492,Central,60.34,7,0.0,15.6884,0.25999999999999995
US-2017-156909,2017-07-16,2017-07-18,SF-20065,FUR-CH-10002774,East,71.372,2,0.3,-1.0196,-0.014285714285714287
CA-2015-106320,2015-09-25,2015-09-30,EB-13870,FUR-TA-10000577,West,1044.63,3,0.0,240.2649,0.22999999999999998
CA-2016-121755,2016-01-16,2016-01-20,EH-13945,OFF-BI-10001634,West,11.648,2,0.2,4.2224,0.36250000000000004
